Asset,TV_Symbol,Exchange,TV_Recommendation,RSI,MACD_Hist,Current_Price
1810.HK,1810,HKEX,STRONG_BUY,77.52808001118906,0.713826793876494,49.45
APP,APP,NASDAQ,BUY,76.04324480336237,13.467124887796714,496.0
BABA,BABA,NYSE,BUY,85.3164753550264,2.7337751517221616,126.9
BKNG,BKNG,NASDAQ,STRONG_BUY,66.93198025853013,50.281227246652094,5141.88
CPRT,CPRT,NASDAQ,BUY,59.773089287797525,0.20346359732851704,59.59
CSCO,CSCO,NASDAQ,BUY,71.28837200920613,0.28879348914013203,64.59
DE,DE,NYSE,STRONG_BUY,70.26022123636722,0.7130777518033327,501.56
KO,KO,NYSE,BUY,72.81044318443466,0.6827175411707442,69.05
NVDA,NVDA,NASDAQ,STRONG_BUY,57.02404618828634,1.7896660950467982,139.4
PANW,PANW,NASDAQ,STRONG_BUY,71.50844031428115,2.1422781736042475,208.28
PDD,PDD,NASDAQ,STRONG_BUY,72.49294472555084,1.4392625648976813,128.46
SPOT,SPOT,NYSE,BUY,72.41234139463695,3.254928573728243,630.56
XEL,XEL,NASDAQ,BUY,58.34019831398282,0.2082743758779325,68.54
ZS,ZS,NASDAQ,STRONG_BUY,67.90238190057121,1.2943392156420694,216.87
BTC,BTCUSDT,BINANCE,SELL,44.37212198728066,-129.06596740901637,96264.15
BNB,BNBUSDT,BINANCE,BUY,51.225906821772945,5.927039331713291,656.99
LTC,LTC,NYSE,BUY,52.93307137661354,0.09423838303370849,34.77
JUP,JUP,LSE,BUY,57.55096404677826,0.5771394234655842,81.9
SUI,SUIUSDT,BINANCE,SELL,41.43820445356868,0.0224087894371853,3.1942
XRP,XRPUSDT,BINANCE,BUY,47.83672564845002,0.014301369530600364,2.6036
